,Pad_len (mm),Pad_area (mm2),Ground_Pad (fF),Finite Element Analysis Freq (GHz),Frequency from Capacitance (GHz),EPR Frequency (GHz)
0,0.015,0.0475,104.65967,4.61447436174635,4.129702914704719,4.395921025040952
1,0.016379310344827588,0.0475,103.55474,4.638498973733,4.150686426039255,4.4176137861289035
2,0.017758620689655176,0.0475,102.13268,4.6604139534531,4.1781761608673795,4.437386233447672
3,0.019137931034482757,0.0475,101.13441,4.68250057503798,4.197808012780839,4.4572988776464175
4,0.020517241379310346,0.0475,100.22896,4.70393527341008,4.215859428789566,4.476617462068404
5,0.021896551724137934,0.0475,99.18714,4.72566266067757,4.2369247886915415,4.496436361974579
6,0.023275862068965515,0.0475,98.17766,4.74745909657436,4.257644916391833,4.51611524947539
7,0.024655172413793103,0.0475,97.09452,4.7705624157473,4.280223645533579,4.5367972201630895
8,0.02603448275862069,0.0475,96.1101,4.79491048668288,4.301063871551566,4.558500512177778
9,0.027413793103448277,0.0475,95.24235,4.81437982875891,4.319692669031469,4.576187277472431
10,0.028793103448275865,0.0475,94.31917,4.83725045951965,4.3397836603002755,4.59680445182762
11,0.03017241379310345,0.0475,93.36349,4.85828787081658,4.360884618963489,4.61561570483924
12,0.03155172413793104,0.0475,92.38969,4.88730315574358,4.382710285004986,4.641465032606142
13,0.03293103448275862,0.0475,91.44488,4.91506946553996,4.404207342601588,4.666370489651074
14,0.03431034482758621,0.0475,90.56703,4.93177128724488,4.424471403710113,4.681758624460441
15,0.03568965517241379,0.0475,89.64088,4.95751841492034,4.446161300514382,4.70438612828087
16,0.037068965517241384,0.0475,88.72302,4.97447981944559,4.467979794242351,4.719937026592826
17,0.03844827586206897,0.0475,87.77628,5.00090350444612,4.490830052063938,4.7434396681622655
18,0.039827586206896554,0.0475,86.8746,5.03142669073336,4.5129271028453,4.770499485499037
19,0.041206896551724145,0.0475,85.96583,5.04933461978899,4.535536503875716,4.7867071829230365
20,0.04258620689655173,0.0475,85.02536,5.07319083441443,4.559301834194724,4.808057993031237
21,0.043965517241379315,0.0475,84.18916,5.10841543342404,4.580754101878215,4.839237327024909
22,0.0453448275862069,0.0475,83.31012,5.12773677490624,4.603640396459482,4.8564604177062884
23,0.046724137931034485,0.0475,82.4495,5.154339817357,4.626388136465823,4.880163391550621
24,0.04810344827586207,0.0475,81.57077,5.17725555903148,4.6499717011143,4.900941352636805
25,0.04948275862068966,0.0475,80.72108,5.20285108989306,4.673127928206699,4.9239651928724575
26,0.050862068965517246,0.0475,79.85244,5.22571076399632,4.697167765263528,4.944103267110345
27,0.05224137931034483,0.0475,78.79049,5.25098728094247,4.727076176872338,4.966816242044434
28,0.053620689655172415,0.0475,77.96114,5.28335087728461,4.7508418547690106,4.994900432065329
29,0.055,0.0475,77.06878,5.30833567919881,4.776824528523414,5.017614906160201
