,l (um),Capacitance (fF),Reduced Coupling Capacitance (fF)
0,500,61.36578622745609,322.69729295128985
1,510,61.614344608284206,324.21767692725734
2,520,63.32142932325477,328.6501026706096
3,530,64.40775459789822,331.8391128969367
4,540,65.38247148438884,334.52765820096715
5,550,66.3297123158366,337.4026532295023
6,560,67.25964986635447,339.9920723970012
7,570,68.24254955278553,343.14909373143695
8,580,68.98441167107411,345.51673761769877
9,590,70.24851745514486,349.15183937475246
10,600,71.20604967450026,351.9506544690768
11,610,72.15607093955047,354.7667716732483
12,620,73.14830527524359,357.6306605424549
13,630,74.13674003312978,360.63532562873655
14,640,75.13852655065159,363.8335745890155
15,650,76.128590360324,366.93710063862795
16,660,77.12846358331194,369.92038831485496
17,670,78.45048890190347,373.90171785643963
18,680,79.4496790347715,376.98460598332775
19,690,80.44157277446861,380.0538462051578
20,700,81.02987852382842,381.93305677333996
21,710,82.03778308109226,384.9715528916761
22,720,83.03666497130511,387.99479580929426
23,730,84.02742523975792,391.11514191438516
24,740,84.9944216880546,394.4564814710493
25,750,85.99974493261357,397.4947071848608
26,760,86.97635309651062,400.66738371376124
27,770,87.99338990307659,403.7366033562599
28,780,89.34399131530147,407.7389536162815
29,790,90.29479742233043,410.6904679421803
30,800,91.3133443849844,413.99288821083275
31,810,92.32239491029881,417.0847799844066
32,820,93.29271579196664,420.2709971690309
33,830,94.30552502354817,423.4790146582233
34,840,95.34067383165497,426.9938092060029
35,850,96.3573704357336,430.13040983415493
36,860,97.3421920244168,433.32289550537894
37,870,98.3583188659347,436.51604288494553
38,880,99.36141001261086,439.6604765228927
39,890,100.34667439468673,442.7283067657987
40,900,101.36732086584107,445.9213972256401
