,Frequency(GHz),CPW_lengths(mm),Size(mm)
0,8.44583291282218,3.530615008234622,0.15
1,8.17114388603519,3.6472816749012886,0.16666666666666669
2,7.91718449141156,3.7639483415679553,0.18333333333333335
3,7.68418600088463,3.880615008234622,0.20000000000000004
4,7.45237106487093,3.9972816749012887,0.2166666666666667
5,7.23851696616562,4.113948341567956,0.23333333333333336
6,7.0370546503158,4.230615008234622,0.25000000000000006
7,6.85059547061014,4.347281674901288,0.2666666666666667
8,6.67196629336932,4.463948341567955,0.2833333333333334
9,6.48167858463557,4.580615008234622,0.3
