,Pos1_x(mm),Pos2_x(mm),C_Q1_Q2(fF),C_Q1_g(fF),C_Q2_g(fF),Freq_Q1(GHz),Freq_Q2(GHz),Freq_C1(GHz),Freq_C2(GHz),Freq_Q1_EPR(MHz),Freq_Q2_EPR(MHz),Freq_C1_EPR(MHz),Freq_C2_EPR(MHz),chi_q12(MHz),chi_q1_c1(MHz),chi_q2_c1(MHz),chi_q1_c2(MHz),chi_q2_c2(MHz)
0,0,0.65,-0.50182,-106.47803,-96.49135,4.18111953434793,4.39160246067536,6.97131860136469,7.2461544341915,4001.82897142111,4193.3157361537615,6970.389124551459,7245.025501091243,-5.929660322165489,1.7251107671985626,0.003252662094116211,0.016585046918869018,2.069045307462692
1,0,2.1888888888888887,-0.00764,-107.19653,-97.18247,4.18094598742722,4.39166120129329,6.97232059132835,7.24565840175164,4001.693327589835,4193.322814704629,6971.387204643814,7244.538671562311,-1.2832576751708983e-05,1.7356496598796844,4.527931213378906e-07,1.8823299407958984e-06,2.068460275535583
2,0,3.7277777777777774,-0.00317,-107.14334,-97.1211,4.18205105776075,4.3924108548045,6.96920142145756,7.2466916106162,4002.7045621763873,4194.000712168638,6968.267354681182,7245.576834997864,-3.8146972656249997e-11,1.7365165632629393,2.651214599609375e-10,4.049301147460937e-09,2.0593148624458313
3,0,5.266666666666667,-0.00224,-107.17889,-97.23063,4.18059065561544,4.38993006125316,6.97355464532426,7.24455889018733,4001.3686967447193,4191.746912355394,6972.625025435209,7243.437478793142,4.7683715820312496e-12,1.728818997964859,5.91278076171875e-11,6.294250488281249e-11,2.071757590671539
4,0,6.805555555555555,-0.00147,-107.32545,-97.32616,4.18236242788437,4.39082449830706,6.97172312350565,7.24625372664388,4002.9851711847937,4192.561958567479,6970.788265089968,7245.136494585261,-2.476543426513672e-06,1.738124907487869,4.2832374572753904e-07,1.4826393127441406e-06,2.064070899076462
5,0,8.344444444444443,-0.0011,-107.32849,-97.26185,4.1809575207249,4.39173519591813,6.97245035937476,7.24616378600934,4001.702667002649,4193.3921433372125,6971.517370409245,7245.046800892323,-5.136232376098633e-07,1.7349204909915923,1.0547657012939452e-06,1.4834041595458983e-06,2.0634478980541227
6,0,9.883333333333333,-0.00095,-107.34254,-97.32017,4.1805800391375,4.39052411585461,6.9722490203957,7.2467078265239,4001.358996080512,4192.29133608247,6971.316916532479,7245.591845235658,-3.47076416015625e-07,1.733321916837692,4.2589569091796873e-07,1.2237911224365233e-06,2.061867045928955
7,0,11.422222222222222,-0.00082,-107.28586,-97.28882,4.18155838222205,4.39256676735993,6.97149441435382,7.24614054475642,4002.251661875062,4194.147046036127,6970.559332721731,7245.021738090247,-1.535843849182129e-06,1.7386373143348692,2.786540985107422e-07,1.8230705261230468e-06,2.0666469036006925
8,0,12.96111111111111,-0.00072,-107.37215,-97.33632,4.17943596742609,4.39011335537202,6.97340095130056,7.24457616868257,4000.3113967238514,4191.9178584106985,6972.471524978229,7243.456821832941,-8.454732894897461e-07,1.728613275035858,6.135807037353516e-07,1.623861312866211e-06,2.0679299612579345
9,0,14.5,-0.00058,-107.37399,-97.3562,4.18180042165402,4.39235837471878,6.97282837438294,7.24633555026344,4002.475889901363,4193.955869209045,6971.896894046808,7245.214585028391,-2.002716064453125e-11,1.7320363362579345,3.414154052734375e-10,2.429962158203125e-09,2.070672052837372
