,Pos1_x(mm),Pos2_x(mm),C_Q1_Q2(fF),C_Q1_g(fF),C_Q2_g(fF)
0,0,0.65,-0.50182,-106.47803,-96.49135
1,0,2.1888888888888887,-0.00764,-107.19653,-97.18247
2,0,3.7277777777777774,-0.00317,-107.14334,-97.1211
3,0,5.266666666666667,-0.00224,-107.17889,-97.23063
4,0,6.805555555555555,-0.00147,-107.32545,-97.32616
5,0,8.344444444444443,-0.0011,-107.32849,-97.26185
6,0,9.883333333333333,-0.00095,-107.34254,-97.32017
7,0,11.422222222222222,-0.00082,-107.28586,-97.28882
8,0,12.96111111111111,-0.00072,-107.37215,-97.33632
9,0,14.5,-0.00058,-107.37399,-97.3562
