,Pos1_x(mm),Pos2_x(mm),C_Q1_Q2(fF),C_Q1_g(fF),C_Q2_g(fF),Freq_Q1(GHz),Freq_Q2(GHz),Freq_C1(GHz),Freq_C2(GHz)
0,0,14.5,-0.4923,-107.03128,-97.18904,3.86477081237285,4.17978031409991,4.38430031256913,6.95611591539231
1,0,12.96111111111111,-0.4923,-107.03128,-97.18904,3.86492630957259,4.17920173977795,4.38920001206385,6.9586765472157
2,0,11.422222222222222,-0.4923,-107.03128,-97.18904,3.865390977346,4.18214408449363,4.39092479480811,6.95966572037349
3,0,9.883333333333333,-0.4923,-107.03128,-97.18904,3.8669535487016,4.17970673929803,4.38643301816172,6.95351218037954
4,0,8.344444444444443,-0.4923,-107.03128,-97.18904,3.86692722438478,4.17888057850612,4.38457572618198,6.95639345253266
5,0,6.805555555555555,-0.4923,-107.03128,-97.18904,3.8670799825572,4.17653661209603,4.37765670915245,6.95957197006345
6,0,5.266666666666667,-0.4923,-107.03128,-97.18904,3.86679040747412,4.17837912449088,4.38988515088007,6.95460624749411
7,0,3.7277777777777774,-0.4923,-107.03128,-97.18904,3.86565720996882,4.17744921945268,4.38500774330827,6.95986708649685
8,0,2.1888888888888887,-0.4923,-107.03128,-97.18904,3.86521459353436,4.17899744221437,4.38496141098036,6.95505751642719
9,0,0.65,-0.4923,-107.03128,-97.18904,3.86451988180662,4.17820536325383,4.38799680109964,6.95716257929079
