,pad_size(mm),coupling_len(um),coupling_gap(um),buffer(um),offset,target_freq(GHz),target_res_freq(GHz),Cj (fF),Lj (nH),Small_Wrap,TQx,TQy,TQ_mir,C_CPW_Qb,C_CPW_Qbp,C_Qb_g,Freq1(GHz),Freq2(GHz),Freq_EPR1(MHz),Chi1_1(MHz),Freq_EPR2(MHz),Chi2_1(MHz),Chi2_2(MHz)
0,0.25,45.0,15.0,188.0,0.0,4.0,8.807372605569507,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-9.47861,-95.05858,-104.50044,4.18884486472723,6.37408150388451,4008.7078714611666,188.5931672072067,6373.551085496241,0.9564974895591736,0.0013356297302246094
1,0.23500000000000001,40.0,15.0,184.0,0.0,4.2,9.008272569091718,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-8.80386,-88.08819,-96.80968,4.34996439791911,6.58410100150214,4155.253697341725,204.1948622081909,6583.5359869567155,1.0130800046138764,0.0013909021911621092
2,0.20800000000000002,22.0,15.0,193.0,0.0,4.4,9.200850159644736,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-6.81616,-76.18547,-82.98546,4.68911955166103,6.79470429016377,4461.75306667399,239.33818677651215,6794.154261167848,0.9572467934303284,0.001085304801940918
3,0.245,45.0,15.0,250.0,0.05,4.6000000000000005,9.399752638200777,4.410020111571073,10,True,0.3675mm,0.5mm,False,-7.58925,-94.45483,-101.97472,4.80670608743134,6.98922897398683,4625.866177269937,188.37032846058273,6988.7285362802995,0.8953352605381012,0.0011768867950439452
4,0.223,30.0,15.0,210.0,0.055,4.800000000000001,9.600418842420378,4.410020111571073,10,True,0.03mm,0.5mm,False,-6.87617,-83.77459,-90.54376,5.08443708124543,7.22659239690778,4881.417462982698,211.97337835157583,7226.031448961749,0.9863477026882171,0.0012869946002960204
5,0.214,30.0,15.0,210.0,0.055,5.000000000000001,9.80796717182623,4.410020111571073,10,True,0.09mm,0.5mm,False,-6.61977,-79.38822,-86.08755,5.21662702574564,7.43341723107826,5002.595794371498,223.70531579464148,7432.819877000195,1.0487062778053282,0.0013806793384552002
6,0.23500000000000001,25.0,15.0,210.0,0.042,5.200000000000001,10.000703570960523,5.512525139463842,8,True,0.3425mm,0.46mm,False,-6.77643,-89.66638,-96.42606,5.48460554355219,7.62001724869759,5297.502017953144,194.19334099629592,7619.473700990142,0.9600912899456023,0.0013237039527893065
7,0.225,22.0,15.0,210.0,0.065,5.400000000000001,10.207242251737638,5.512525139463842,8,True,0.3375mm,0.46mm,False,-6.36804,-84.99568,-91.35596,5.63142671912718,7.82932774691603,5433.8642743820465,205.27369108931921,7828.781724032226,0.9620351450271606,0.001260246898651123
8,0.20600000000000002,30.0,20.0,210.0,0.055,5.600000000000001,10.400021710830442,5.512525139463842,8,True,0.328mm,0.46mm,False,-5.71352,-76.0377,-81.7972,5.93258833380802,8.02648628628925,5712.681793563791,228.9516926603832,8025.839321612821,1.1139183831653594,0.0015415162143707275
9,0.193,30.0,20.0,252.0,0.2,5.800000000000002,10.604772409548442,5.512525139463842,8,True,0.3425mm,0.46mm,False,-4.9238,-70.55066,-75.49917,6.16043989078874,8.22329071683369,5922.746292106539,247.9039446194782,8222.662603748004,1.0657667251472474,0.0013179391117095947
