,pad_size(mm),coupling_len(um),buffer(um),offset,target_freq(GHz),target_res_freq(GHz),Freq1(GHz),Freq2(GHz),Freq_EPR1(MHz),Chi1_1(MHz),Freq_EPR2(MHz),Chi2_1(MHz),Chi2_2(MHz)
0,0.25,15.0,202.0,0.4,4.0,6.4,4.23673739273448,6.35157347782626,4052.461326385092,193.16258442206572,6351.251458321991,0.5769150151958465,0.0004772673015594482
1,0.23,15.0,204.0,0.4,4.2,6.6,4.4506785845984,6.57037434126683,4246.707224910866,214.25920445052336,6569.998414012446,0.665162979801178,0.0005778542556762695
2,0.21,15.0,208.0,0.4,4.4,6.800000000000001,4.70394867154759,6.76069699552475,4475.3253043782815,240.73178358785057,6760.2292819322665,0.810044867887497,0.0007756302375793457
3,0.196,15.0,206.0,0.4,4.6000000000000005,7.0,4.89782994146115,6.95833365394232,4649.307435963586,262.1542442072754,6957.789231410262,0.9310032168941498,0.000950198278427124
4,0.184,15.0,206.0,0.4,4.800000000000001,7.200000000000001,5.08449528580885,7.11684943251962,4815.997915139935,283.7008992065525,7116.213971285561,1.0695927268772125,0.0011728255519866944
5,0.17,15.0,202.0,0.4,5.000000000000001,7.4,5.33951810636128,7.36408004988409,5042.42725649265,314.60524227275465,7363.292775304257,1.2996270934638976,0.0015841798057556152
6,0.155,15.0,203.0,0.4,5.200000000000001,7.600000000000001,5.6379877430893,7.56680027173316,5305.466666535107,353.01073813303753,7565.775187467006,1.6339728460845946,0.0022875899124145506
7,0.14,15.0,205.0,0.4,5.400000000000001,7.800000000000001,5.99100916548442,7.7694815854095,5613.88910042314,401.5096914171314,7768.044531745355,2.1725422442378997,0.0036841472930908203
8,0.132,15.0,200.0,0.4,5.600000000000001,8.000000000000002,6.20170604510667,7.98290360532039,5796.487742543529,432.1252351737766,7981.21949976883,2.499200150436401,0.004586468832015991
9,0.125,15.0,190.0,0.4,5.800000000000002,8.200000000000001,6.40503302062096,8.28501081630799,5971.615783224865,462.86066610497284,8283.13761427422,2.7771457575759886,0.0052947546043396
