,Target Frequencies,Buffer,Offset,Sizes,CPW_lengths(mm)
0,4.0,187,0.345,250,4.753162787842315 mm
1,4.2,199,0.4,235,4.613162787842316 mm
2,4.4,202,0.42,220,4.477162787842316 mm
3,4.6000000000000005,205,0.413,200,4.355162787842316 mm
4,4.800000000000001,206,0.41,182,4.225162787842316 mm
5,5.000000000000001,205,0.421,172,4.1151627878423165 mm
6,5.200000000000001,206,0.451,165,4.007162787842316 mm
7,5.400000000000001,207,0.447,150,3.903162787842316 mm
8,5.600000000000001,209,0.457,138,3.8031627878423158 mm
9,5.800000000000002,211,0.48,131,3.717162787842317 mm
