,Lj (nH),size (um),Cj (fF),C_CPW_Qb,Freq_conv(GHz),Freq_EPR1(MHz),Chi1_1(MHz)
0,13,250.0,3.3923231627469788,105.91232,4.20444790761143,4022.9090220097387,190.44780233851526
1,13,230.0,3.3923231627469788,105.91232,4.20444790761143,4022.9090220097387,190.44780233851526
2,13,210.0,3.3923231627469788,105.91232,4.20444790761143,4022.9090220097387,190.44780233851526
3,13,190.0,3.3923231627469788,105.91232,4.20444790761143,4022.9090220097387,190.44780233851526
4,13,170.0,3.3923231627469788,105.91232,4.20444790761143,4022.9090220097387,190.44780233851526
5,10,250.0,4.410020111571073,105.91232,4.20444790761143,4066.088781302193,143.71253470967483
6,10,230.0,4.410020111571073,105.91232,4.20444790761143,4066.088781302193,143.71253470967483
7,10,210.0,4.410020111571073,105.91232,4.20444790761143,4066.088781302193,143.71253470967483
8,10,190.0,4.410020111571073,105.91232,4.20444790761143,4066.088781302193,143.71253470967483
9,10,170.0,4.410020111571073,105.91232,4.20444790761143,4066.088781302193,143.71253470967483
