,Target_qb_Freq(GHz),Sizes (um),Ljs,Buffers (um),Offsets (mm),TQx,TQy,Small,TQ_mir,CPW_freq_predict(GHz),Ljs (nH)
0,4.0,250,13nH,188,0.0,-0.1mm,0.5mm,False,True,6.407372605569507,13
1,4.2,235,13nH,184,0.0,-0.1mm,0.5mm,False,True,6.608272569091718,13
2,4.4,208,13nH,193,0.0,-0.1mm,0.5mm,False,True,6.800850159644736,13
3,4.6000000000000005,187,13nH,205,0.0,-0.232mm,0.5mm,False,True,7.06552237058575,13
4,4.800000000000001,223,10nH,210,0.055,0.03mm,0.5mm,True,False,7.200418842420379,10
5,5.000000000000001,214,10nH,210,0.055,0.09mm,0.5mm,True,False,7.40796717182623,10
6,5.200000000000001,235,8nH,210,0.042,0.3425mm,0.46mm,True,False,7.6007035709605235,8
7,5.400000000000001,225,8nH,210,0.065,0.3375mm,0.46mm,True,False,7.807242251737637,8
8,5.600000000000001,206,8nH,210,0.055,0.328mm,0.46mm,True,False,8.000021710830442,8
9,5.800000000000002,193,8nH,210,0.064,0.3215mm,0.46mm,True,False,8.206983437223217,8
