,f_target,Freq1(GHz),Freq_EPR1(MHz),Chi1_1(MHz),cap_t_g,Predict_freq
0,4.0,3.95588148026508,3858.6551210764273,100.09731589353751,104.61064,4.130627200056887
1,4.2,4.0881343437128,3916.7172389083903,179.62297965892122,96.87481,4.284848267010055
2,4.4,4.36302577977986,4167.080729867492,205.8857699425888,83.07307,4.609872021163243
3,4.6000000000000005,4.46251319337179,4258.55716502398,214.42020854175854,102.03041,4.180174554885983
4,4.800000000000001,4.68655925663244,4514.543572236544,179.34289134046173,90.60066,4.42368985996324
5,5.000000000000001,4.78720812528815,4607.37274895313,187.6585128332939,86.0703,4.53291981242481
6,5.200000000000001,4.99567021738173,4800.489052217979,203.94576953392982,96.41985,4.294473170638984
7,5.400000000000001,5.09670631383988,4935.235908949875,167.48762241794205,91.38349,4.405615271052563
8,5.600000000000001,5.32170678686456,5144.928588650583,183.66451864959907,81.71665,4.64603116441781
9,5.800000000000002,5.48312207417753,5295.124266360192,195.5357551766834,75.50397,4.823452400487762
