,f_target,size,Lj,Freq1(GHz),Freq2(GHz),Freq_EPR1(MHz),Chi1_1(MHz),Freq_EPR2(MHz),Chi2_1(MHz),Chi2_2(MHz)
0,5.4,20.0,6,4.97127798766763,7.83379869366416,4856.407264408325,117.88559341621398,7833.580278445872,0.4144859098911285,0.0003830574264526
1,5.4,100.0,6,4.93083086591695,7.71357606494478,4817.814034044569,115.56202795256804,7712.882667450167,1.3093905369758605,0.0039026114788055
2,5.4,72.34203264911119,6,4.94381718111772,7.7567446661405,4830.208654472215,116.33671842183112,7756.243646683205,0.9480385588226318,0.0020315221500396
3,5.4,76.31917385900203,6,4.94485420120019,7.75007246289415,4831.198601084341,116.3635176437454,7749.544450072485,0.9986742538547516,0.002254236459732
4,5.4,76.70576972829704,6,4.94033635238103,7.75062878404379,4826.888638249639,116.14750089229392,7750.101534072605,0.9974753144226074,0.0022525224361419
5,5.4,88.35288486414852,6,4.93264030338223,7.73159563950325,4819.542177900746,115.71824587615204,7730.989342738055,1.146154994020462,0.0029852869586944
6,5.4,77.09429857693853,6,4.93976582138732,7.75050857722127,4826.343224176637,116.11916272473717,7749.978683534066,1.0024805824928282,0.0022756870174407
7,5.4,20.0,6,5.53962635133008,7.83187692272756,5397.480997225957,146.27980875811957,7831.583307456751,0.5370770844287872,0.0005342430915832
8,5.4,100.0,6,5.48961296518051,7.71445181733139,5350.525555655779,142.5850008856144,7713.5092716490035,1.714801467447281,0.0055906843338012
9,5.4,51.44524625598712,6,5.52562769201856,7.7892261091596,5384.376262603136,145.17776557526398,7788.715288168827,0.9323634387569428,0.0016230685749053
10,5.4,56.3606611629999,6,5.52153079603869,7.78290031871292,5380.517267139478,144.90095845243454,7782.353045997296,0.9987131692390442,0.001865736749649
11,5.4,56.647464468814896,6,5.52166968981588,7.78286902992207,5380.65002797128,144.9061124246044,7782.32010654604,1.0017027600498198,0.0018768739051818848
